game_id,season,home_team,visitor_team,home_team_score,visitor_team_score,pts_total,point_diff,home_win,turnovers,field_goal_pct
1,2023,Las Vegas Aces,New York Liberty,73,80,153,7,0,14,0.362
2,2024,Las Vegas Aces,New York Liberty,82,76,158,6,1,13,0.35
3,2024,Atlanta Dream,Connecticut Sun,62,82,144,20,0,19,0.545
4,2023,Las Vegas Aces,New York Liberty,77,78,155,1,0,14,0.384
5,2024,Minnesota Lynx,Connecticut Sun,80,77,157,3,1,11,0.398
6,2024,New York Liberty,Minnesota Lynx,80,81,161,1,0,11,0.412
7,2024,Connecticut Sun,Las Vegas Aces,87,79,166,8,1,21,0.389
8,2023,Connecticut Sun,New York Liberty,100,86,186,14,1,19,0.471
9,2024,New York Liberty,Dallas Wings,76,82,158,6,0,18,0.39
10,2024,New York Liberty,Dallas Wings,83,82,165,1,1,14,0.52
11,2024,Minnesota Lynx,Atlanta Dream,91,87,178,4,1,15,0.405
12,2024,New York Liberty,Dallas Wings,89,84,173,5,1,14,0.504
13,2024,Minnesota Lynx,New York Liberty,82,75,157,7,1,20,0.452
14,2023,New York Liberty,Las Vegas Aces,70,79,149,9,0,14,0.408
15,2024,Connecticut Sun,Las Vegas Aces,77,75,152,2,1,19,0.394
16,2023,Minnesota Lynx,Las Vegas Aces,79,83,162,4,0,8,0.396
17,2023,New York Liberty,Connecticut Sun,75,73,148,2,1,16,0.447
18,2023,Dallas Wings,Atlanta Dream,83,61,144,22,1,11,0.423
19,2023,Connecticut Sun,Atlanta Dream,66,77,143,11,0,15,0.357
20,2023,Connecticut Sun,Atlanta Dream,85,75,160,10,1,21,0.379
21,2024,Las Vegas Aces,Connecticut Sun,75,79,154,4,0,18,0.398
22,2024,Las Vegas Aces,Connecticut Sun,91,74,165,17,1,8,0.38
23,2023,Las Vegas Aces,New York Liberty,82,75,157,7,1,11,0.479
24,2023,Atlanta Dream,New York Liberty,85,85,170,0,0,16,0.392
25,2023,Las Vegas Aces,Minnesota Lynx,68,78,146,10,0,21,0.529
26,2023,New York Liberty,Dallas Wings,92,71,163,21,1,11,0.527
27,2024,Minnesota Lynx,New York Liberty,87,86,173,1,1,10,0.424
28,2024,Minnesota Lynx,New York Liberty,83,68,151,15,1,10,0.48
29,2024,Connecticut Sun,New York Liberty,91,71,162,20,1,15,0.52
30,2024,New York Liberty,Minnesota Lynx,71,83,154,12,0,13,0.546
31,2024,Dallas Wings,Las Vegas Aces,103,78,181,25,1,8,0.389
32,2024,Las Vegas Aces,New York Liberty,73,81,154,8,0,21,0.541
33,2023,New York Liberty,Atlanta Dream,81,83,164,2,0,10,0.546
34,2023,New York Liberty,Atlanta Dream,74,73,147,1,1,17,0.537
35,2023,Las Vegas Aces,Minnesota Lynx,87,69,156,18,1,9,0.401
36,2024,Connecticut Sun,Dallas Wings,90,86,176,4,1,14,0.409
37,2023,Minnesota Lynx,Dallas Wings,82,84,166,2,0,11,0.51
38,2023,New York Liberty,Atlanta Dream,75,76,151,1,0,13,0.416
39,2024,Las Vegas Aces,Connecticut Sun,78,86,164,8,0,12,0.454
40,2023,New York Liberty,Connecticut Sun,101,92,193,9,1,15,0.495
41,2023,Las Vegas Aces,Connecticut Sun,81,74,155,7,1,19,0.499
42,2023,Connecticut Sun,Dallas Wings,86,84,170,2,1,8,0.385
43,2023,Atlanta Dream,Connecticut Sun,89,88,177,1,1,8,0.541
44,2024,Las Vegas Aces,New York Liberty,72,79,151,7,0,16,0.418
45,2024,Atlanta Dream,New York Liberty,85,84,169,1,1,17,0.503
46,2024,Atlanta Dream,Connecticut Sun,78,79,157,1,0,12,0.527
47,2023,Las Vegas Aces,Atlanta Dream,107,78,185,29,1,11,0.473
48,2024,Minnesota Lynx,Atlanta Dream,66,88,154,22,0,8,0.442
49,2023,New York Liberty,Dallas Wings,84,73,157,11,1,17,0.414
50,2024,Las Vegas Aces,Connecticut Sun,81,64,145,17,1,12,0.42
51,2023,New York Liberty,Atlanta Dream,82,81,163,1,1,16,0.464
52,2024,Dallas Wings,Minnesota Lynx,76,87,163,11,0,12,0.398
53,2024,Dallas Wings,New York Liberty,82,85,167,3,0,16,0.414
54,2024,New York Liberty,Minnesota Lynx,78,85,163,7,0,21,0.485
55,2023,Las Vegas Aces,Atlanta Dream,67,74,141,7,0,11,0.485
56,2023,New York Liberty,Atlanta Dream,81,70,151,11,1,21,0.46
57,2023,New York Liberty,Dallas Wings,89,81,170,8,1,20,0.518
58,2023,Connecticut Sun,Las Vegas Aces,86,84,170,2,1,20,0.367
59,2023,Dallas Wings,Atlanta Dream,84,76,160,8,1,11,0.42
60,2023,Minnesota Lynx,Atlanta Dream,88,76,164,12,1,21,0.449
61,2023,Las Vegas Aces,Connecticut Sun,88,84,172,4,1,16,0.499
62,2024,Atlanta Dream,Las Vegas Aces,70,71,141,1,0,8,0.395
63,2024,Connecticut Sun,Minnesota Lynx,66,82,148,16,0,13,0.535
64,2023,New York Liberty,Las Vegas Aces,82,81,163,1,1,8,0.489
65,2024,Connecticut Sun,Atlanta Dream,81,85,166,4,0,12,0.405
66,2023,Las Vegas Aces,Connecticut Sun,75,79,154,4,0,11,0.547
67,2023,New York Liberty,Connecticut Sun,86,85,171,1,1,20,0.532
68,2023,Atlanta Dream,Dallas Wings,83,86,169,3,0,14,0.432
69,2023,Dallas Wings,Minnesota Lynx,92,72,164,20,1,13,0.516
70,2024,Connecticut Sun,Dallas Wings,69,73,142,4,0,14,0.523
71,2023,Dallas Wings,New York Liberty,83,84,167,1,0,12,0.501
72,2023,Atlanta Dream,Dallas Wings,71,82,153,11,0,15,0.474
73,2024,Las Vegas Aces,Connecticut Sun,82,90,172,8,0,8,0.46
74,2023,Atlanta Dream,New York Liberty,61,72,133,11,0,12,0.478
75,2023,Las Vegas Aces,Dallas Wings,68,89,157,21,0,10,0.531
76,2024,Connecticut Sun,Atlanta Dream,79,82,161,3,0,10,0.49
77,2024,Connecticut Sun,Atlanta Dream,83,74,157,9,1,20,0.392
78,2023,New York Liberty,Las Vegas Aces,100,69,169,31,1,13,0.49
79,2024,New York Liberty,Connecticut Sun,82,86,168,4,0,9,0.47
80,2023,Minnesota Lynx,New York Liberty,75,73,148,2,1,13,0.374
81,2023,Atlanta Dream,Connecticut Sun,79,71,150,8,1,16,0.368
82,2023,New York Liberty,Dallas Wings,88,73,161,15,1,10,0.387
83,2024,Las Vegas Aces,Minnesota Lynx,95,76,171,19,1,18,0.4
84,2023,Dallas Wings,New York Liberty,94,58,152,36,1,16,0.497
85,2024,Minnesota Lynx,Atlanta Dream,76,69,145,7,1,16,0.528
86,2024,Connecticut Sun,Minnesota Lynx,79,95,174,16,0,13,0.467
87,2024,Minnesota Lynx,Atlanta Dream,87,75,162,12,1,9,0.399
88,2024,Dallas Wings,Atlanta Dream,79,76,155,3,1,13,0.399
89,2024,Las Vegas Aces,Minnesota Lynx,82,71,153,11,1,12,0.546
90,2024,Las Vegas Aces,Minnesota Lynx,96,77,173,19,1,16,0.494
91,2024,Dallas Wings,Minnesota Lynx,74,83,157,9,0,8,0.456
92,2023,Connecticut Sun,Atlanta Dream,88,78,166,10,1,18,0.469
93,2023,Connecticut Sun,Las Vegas Aces,90,73,163,17,1,12,0.351
94,2023,Dallas Wings,Atlanta Dream,80,79,159,1,1,21,0.499
95,2023,Atlanta Dream,Las Vegas Aces,77,68,145,9,1,15,0.494
96,2023,New York Liberty,Las Vegas Aces,88,83,171,5,1,12,0.387
97,2023,Las Vegas Aces,Minnesota Lynx,88,75,163,13,1,9,0.513
98,2023,Minnesota Lynx,Dallas Wings,82,91,173,9,0,8,0.53
99,2024,Atlanta Dream,Las Vegas Aces,70,87,157,17,0,11,0.509
100,2023,Connecticut Sun,Atlanta Dream,88,86,174,2,1,14,0.379
101,2023,Atlanta Dream,Connecticut Sun,78,80,158,2,0,11,0.441
102,2024,New York Liberty,Connecticut Sun,88,70,158,18,1,18,0.478
103,2024,Atlanta Dream,Las Vegas Aces,91,80,171,11,1,17,0.419
104,2024,Las Vegas Aces,Dallas Wings,79,74,153,5,1,19,0.469
105,2023,Connecticut Sun,New York Liberty,77,88,165,11,0,13,0.365
106,2024,Dallas Wings,Minnesota Lynx,79,74,153,5,1,21,0.387
